ILR,Ilorin International Airport,Ilorin;ABV;8.44021,4.49392
JOS,Yakubu Gowon Airport,Jos;LOS;9.63983,8.86905
KAD,Kaduna Airport,Kaduna;LOS;10.696,7.32011
KAN,Mallam Aminu International Airport,Kano;BEY,CAI,KRT,JED,NDJ,ABV,LOS,IST;12.0476,8.52462
LOS,Murtala Muhammed International Airport,Lagos;ACC,DKR,DLA,ROB,CDG,CMN,LHR,BKO,SSG,ATL,DXB,ABJ,ADD,LBV,LFW,AUH,MAD,AMS,COO,NBO,FRA,PHC,BEY,CAI,DOH,AMM,JNB,IST,IAH,ABB,ABV,BNI,CBQ,ENU,FNA,JFK,JOS,KAD,KAN,QOW,QRW,QUO,KGL,FCO;6.57737,3.32116
PHC,Port Harcourt International Airport,Port Hartcourt;ABV,LOS;5.01549,6.94959
SKO,Sadiq Abubakar III International Airport,Sokoto;ABV;12.9163,5.20719
YOL,Yola Airport,Yola;ABV;9.25755,12.4304
NIM,Diori Hamani International Airport,Niamey;OUA,CDG,ALG,CMN,ABV,ADD,COO,NDJ,IST;13.4815,2.18361
MIR,Monastir Habib Bourguiba International Airport,Monastir;CDG,TUN,TIP,LYS,NTE,ORY,BRU,GVA,MRS,NCE;35.758099,10.7547
TUN,Tunis Carthage International Airport,Tunis;CGN,BEN,TIP,CDG,MRS,ALG,CMN,FCO,MXP,LYS,MIR,NTE,DXB,FRA,LAQ,SRX,TOB,BEY,CAI,DOH,AMM,JED,IST,ORY,ABJ,AMS,BCN,BEG,BKO,BLQ,BOD,BRU,DKR,DME,DUS,GVA,KWI,LHR,LIS,MAD,MED,MUC,NCE,NKC,ORN,OUA,PMO,SXB,TLS,VCE,VIE,ZRH,DJE,GAE,GAF,MLA,NAP,SFA,TOE,YUL;36.851002,10.2272
GAF,Gafsa Ksar International Airport,Gafsa;GAE,TOE,TUN;34.422001,8.8225
GAE,Gabès Matmata International Airport,Gabes;TOE,TUN,GAF;33.8769,10.1033
DJE,Djerba Zarzis International Airport,Djerba;DUS,NUE,CDG,LIL,LYS,MRS,MUC,NTE,FRA,LEJ,TIP,LUX,NBE,ORY,BRU,BSL,GVA,HAM,NCE,SXB,SXF,ZRH,TUN,MAD;33.875,10.7755
SFA,Sfax Thyna International Airport,Sfax;TIP,CDG,BEN,TUN;34.717999,10.691
TOE,Tozeur Nefta International Airport,Tozeur;ORY,TUN,GAF,GAE;33.939701,8.11056
LFW,Lomé-Tokoin Airport,Lome;OUA,CDG,ACC,ABJ,ABV,ADD,BKO,CKY,COO,DLA,GIG,LBV,LOS,BRU,CMN,GRU;6.16561,1.25451
ANR,Antwerp International Airport (Deurne),Antwerp;LCY;51.1894,4.46028
BRU,Brussels Airport,Brussels;CMN,NDR,TNG,STR,BOM,DEL,EWR,YYZ,ATH,HER,LYS,NTE,LHR,PHL,BJM,COO,DKR,DLA,KGL,LAD,OUA,YUL,ATL,JFK,ALG,MAD,AGA,OUD,RAK,HEL,LIS,FCO,LIN,BLL,EMA,NCL,AUH,RIX,VNO,DUB,ORK,CDG,FRA,SOF,KEF,AGP,ALC,BCN,OPO,PMI,TSF,VLC,ACE,AYT,BOJ,CFU,CHQ,DBV,FNC,IBZ,JMK,KGS,LDE,LEI,LPA,MAH,NBE,PFO,REU,RHO,TFS,TIV,VAR,ZTH,BIO,CPH,GVA,MXP,PEK,TXL,SCQ,VCE,LJU,BEG,GDN,WRO,AMS,CTA,MLA,ABJ,FNA,HAJ,HAM,IAD,MUC,NSI,WAW,BSL,ZRH,TLV,BEY,CAI,PRG,VIE,ZAG,TLL,ADB,BJV,KBP,DOH,OTP,ARN,OSL,BHX,BIA,BKK,BLQ,BMA,BRS,BUD,DME,EDI,FAO,FIH,FLR,GOT,MAN,MRS,NAP,NCE,ORD,PMO,SVQ,SXB,TLS,TRN,SVO,AOE,IST,SAW,DJE,MIR,TUN,BOD,LGW,SXF,LFW,FUE,ROB,EBB,GRO,JTR,NBO;50.901402,4.48444
CRL,Brussels South Charleroi Airport,Charleroi;ACE,AGA,AGP,AHO,ALC,AOI,BCN,BDS,BGY,BIQ,BLQ,BOD,BRI,BTS,BUD,CAG,CCF,CFU,CHQ,CIA,CIY,DUB,EDI,EGC,FAO,FEZ,FNI,FSC,FUE,GOA,GRO,IBZ,KRK,LEI,LPA,LRH,MAD,MAN,MPL,MRS,NDR,NYO,OPO,OUD,PEG,PFO,PGF,PMI,PSA,PSR,PUY,RAK,RBA,RDZ,REU,RHO,SDR,SKG,SUF,SVQ,TFS,TGD,TNG,TPS,TRN,TRS,TSF,VLC,VNO,VOL,WMI,ZAD,ZAZ,ZTH,SAW,BEG,CLJ,LJU,OTP,SKP,SOF,WAW;50.459202,4.45382
LGG,Liège Airport,Liege;AJA,BIA,AGA,HER,LIL,PMI,RHO,OST;50.637402,5.44322
OST,Ostend-Bruges International Airport,Ostend;LGG,PMI;51.198898,2.86222
SXF,Berlin-Schönefeld Airport,Berlin;TLV,SAW,MSQ,ACE,AYT,CFU,DLM,FUE,HER,KGS,LCA,LPA,PMI,RHO,TFS,XRY,ARN,BCN,BGO,CPH,OSL,SVG,TRD,DUB,BGY,EMA,SNN,STN,CAI,BEY,SKP,LED,SVO,LIS,DJE,NBE,AGA,AGP,AMS,ATH,BRS,BRU,BSL,BUD,CAG,EDI,FCO,GLA,GVA,LGW,LPL,LTN,LYS,MAD,MAN,MXP,NAP,NCE,OLB,ORY,PSA,RAK,SEN,SKG,SOF,SZG,VCE,KEF;52.380001,13.5225
