222,Cheikh Larbi Tébessi Airport,Tebessa,Algeria,TEE,35.431599,8.12072
224,Hassi R'Mel Airport,Tilrempt,Algeria,HRM,32.930401,3.31154
225,Bou Chekif Airport,Tiaret,Algeria,TID,35.341099,1.46315
227,Tindouf Airport,Tindouf,Algeria,TIN,27.700399,-8.1671
228,Ech Cheliff Airport,Ech-cheliff,Algeria,CFK,36.2127,1.33177
229,Tafaraoui Airport,Oran,Algeria,TAF,35.5424,-0.532278
230,Zenata – Messali El Hadj Airport,Tlemcen,Algeria,TLM,35.016701,-1.45
231,Es Senia Airport,Oran,Algeria,ORN,35.623901,-0.621183
232,Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW,35.171799,-0.593275
233,Ghriss Airport,Ghriss,Algeria,MUW,35.207699,0.147142
234,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR,27.837601,-0.186414
235,Biskra Airport,Biskra,Algeria,BSK,34.793301,5.73823
236,El Golea Airport,El Golea,Algeria,ELG,30.571301,2.85959
237,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,32.384102,3.79411
238,Oued Irara Airport,Hassi Messaoud,Algeria,HME,31.673,6.14044
239,In Salah Airport,In Salah,Algeria,INZ,27.250999,2.51202
240,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,33.067799,6.08867
241,Laghouat Airport,Laghouat,Algeria,LOO,33.7644,2.92834
242,Timimoun Airport,Timimoun,Algeria,TMX,29.237101,0.276033
243,Ain el Beida Airport,Ouargla,Algeria,OGX,31.9172,5.41278
244,In Aménas Airport,Zarzaitine,Algeria,IAM,28.0515,9.64291
245,Cadjehoun Airport,Cotonou,Benin,COO,6.35723,2.38435
246,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,12.3532,-1.51242
247,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,11.1601,-4.33097
248,Kotoka International Airport,Accra,Ghana,ACC,5.60519,-0.166786
249,Tamale Airport,Tamale,Ghana,TML,9.55719,-0.863214
251,Sunyani Airport,Sunyani,Ghana,NYI,7.36183,-2.32876
252,Takoradi Airport,Takoradi,Ghana,TKD,4.89606,-1.77476
253,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,5.26139,-3.92629
254,Bouaké Airport,Bouake,Cote d'Ivoire,BYK,7.7388,-5.07367
255,Daloa Airport,Daloa,Cote d'Ivoire,DJO,6.79281,-6.47319
256,Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,9.38718,-5.55666
257,Man Airport,Man,Cote d'Ivoire,MJC,7.27207,-7.58736
